2022-05-19 16:05:860 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (8f5257eee986d00508834e5448384ced)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 16:05:897 INFO  ReasonForTravelPage :31 - Clicking on Work,academic visit or business[[ChromeDriver: chrome on WINDOWS (8f5257eee986d00508834e5448384ced)] -> xpath: //input[@id='response-1']]<br>
2022-05-19 16:05:32 INFO  ReasonForTravelPage :40 - Clicking on reason For Travelling Continue Button [[ChromeDriver: chrome on WINDOWS (8f5257eee986d00508834e5448384ced)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 16:05:73 INFO  DurationOfStayPage :40 - Clicking on longer than 6 months[[ChromeDriver: chrome on WINDOWS (8f5257eee986d00508834e5448384ced)] -> xpath: //input[@id='response-1']]<br>
2022-05-20 15:05:880 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 15:05:771 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-20 15:05:881 INFO  SelectNationalityPage :25 - Selecting nationality DropDownList Chile from dropdown [[ChromeDriver: chrome on WINDOWS (7266916ebd17c77200ee3312584243e4)] -> xpath: //select[@id='response']]<br>
2022-05-20 15:05:149 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (7266916ebd17c77200ee3312584243e4)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-20 15:05:215 INFO  ReasonForTravelPage :31 - Clicking on Work,academic visit or business[[ChromeDriver: chrome on WINDOWS (7266916ebd17c77200ee3312584243e4)] -> xpath: //input[@id='response-1']]<br>
2022-05-20 15:05:465 INFO  ReasonForTravelPage :40 - Clicking on reason For Travelling Continue Button [[ChromeDriver: chrome on WINDOWS (7266916ebd17c77200ee3312584243e4)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-20 15:05:922 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 15:05:243 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-20 15:05:355 INFO  SelectNationalityPage :25 - Selecting nationality DropDownList Chile from dropdown [[ChromeDriver: chrome on WINDOWS (ce7c48250a0c6da7dab468a89305c6c3)] -> xpath: //select[@id='response']]<br>
2022-05-20 15:05:541 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (ce7c48250a0c6da7dab468a89305c6c3)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-20 15:05:606 INFO  ReasonForTravelPage :31 - Clicking on Work,academic visit or business[[ChromeDriver: chrome on WINDOWS (ce7c48250a0c6da7dab468a89305c6c3)] -> xpath: //input[@id='response-1']]<br>
2022-05-20 15:05:776 INFO  ReasonForTravelPage :40 - Clicking on reason For Travelling Continue Button [[ChromeDriver: chrome on WINDOWS (ce7c48250a0c6da7dab468a89305c6c3)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-20 15:05:838 INFO  DurationOfStayPage :40 - Clicking on longer than 6 months[[ChromeDriver: chrome on WINDOWS (ce7c48250a0c6da7dab468a89305c6c3)] -> xpath: //input[@id='response-1']]<br>
2022-05-20 15:05:332 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 15:05:572 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-20 15:05:688 INFO  SelectNationalityPage :25 - Selecting nationality DropDownList Chile from dropdown [[ChromeDriver: chrome on WINDOWS (0563098fbc8da6c5dd931ad965eb4715)] -> xpath: //select[@id='response']]<br>
2022-05-20 15:05:956 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (0563098fbc8da6c5dd931ad965eb4715)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-20 15:05:19 INFO  ReasonForTravelPage :31 - Clicking on Work,academic visit or business[[ChromeDriver: chrome on WINDOWS (0563098fbc8da6c5dd931ad965eb4715)] -> xpath: //input[@id='response-1']]<br>
2022-05-20 15:05:273 INFO  ReasonForTravelPage :40 - Clicking on reason For Travelling Continue Button [[ChromeDriver: chrome on WINDOWS (0563098fbc8da6c5dd931ad965eb4715)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-20 15:05:343 INFO  DurationOfStayPage :40 - Clicking on longer than 6 months[[ChromeDriver: chrome on WINDOWS (0563098fbc8da6c5dd931ad965eb4715)] -> xpath: //input[@id='response-1']]<br>
2022-05-20 15:05:782 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 15:05:39 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-20 15:05:147 INFO  SelectNationalityPage :25 - Selecting nationality DropDownList Chile from dropdown [[ChromeDriver: chrome on WINDOWS (310e5c19c3938210e6d69f7375f1c03f)] -> xpath: //select[@id='response']]<br>
2022-05-20 15:05:329 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (310e5c19c3938210e6d69f7375f1c03f)] -> xpath: //button[contains(text(),'Continue')]]<br>
